编号,分类,英文名称,化合物名称,分子式,分子量,CAS号,2D图,smiles,inchi,inchikey,药材名称
SZ-062,黄酮类,(−)epicatechin,(−)-表儿茶精,C15H14O6,290.27,35323-91-2,,O[C@@H]1[C@H](C2=CC(O)=C(O)C=C2)OC3=C(C(O)=CC(O)=C3)C1,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m0/s1",PFTAWBLQPZVEMU-ZFWWWQNUSA-N,山楂
SZ-063,黄酮类,leucocyanidin,无色缔纹天竺素,C15H14O6,290.079,\,,OC1C(O)C(C(O)=CC(O)=C2)=C2OC1C3=CC=C(O)C=C3,"InChI=1S/C15H14O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,13-20H",FSVMLWOLZHGCQX-UHFFFAOYSA-N,山楂
SZ-064,黄酮类,pelargonin,缔纹天竺苷,C19H18O10,406.09,\,,OC1=CC(OC2C3=CC(O)=C(O)C=C3)=C(C(OC(CO)=O)=C1)CC2OC(CO)=O,"InChI=1S/C19H18O10/c20-7-17(25)27-14-4-10(22)5-15-11(14)6-16(28-18(26)8-21)19(29-15)9-1-2-12(23)13(24)3-9/h1-5,16,19-24H,6-8H2",MTROGNUQKHDWFE-UHFFFAOYSA-N,山楂
SZ-065,黄酮类,dimeric leucocyanidin,二聚无色矢车菊素,C30H26O14,610.1323,\,,OC1=CC(O)=CC(OC2C3=CC(O)=C(O)C=C3)=C1C(O)C2(O)OC4C(C5=CC(O)=C(O)C=C5)OC(C=C(O)C=C6O)=C6C4O,"InChI=1S/C30H26O14/c31-13-7-19(37)23-21(9-13)42-26(11-1-3-15(33)17(35)5-11)27(25(23)39)44-30(41)28(40)24-20(38)8-14(32)10-22(24)43-29(30)12-2-4-16(34)18(36)6-12/h1-10,25-29,31-41H",TZEGFJQHHLIABL-UHFFFAOYSA-N,山楂
SZ-066,黄酮类,procyanidin A-2,原花青素A2,C30H24O12,576.1268,\,,OC1=C(O)C=CC([C@@]2([C@H]3O)OC4=CC(O)=C(CC(O)C(C5=CC(O)=C(O)C=C5)O6)C6=C4[C@@H]3C(C(O)=CC(O)=C7)=C7O2)=C1,"InChI=1S/C30H24O12/c31-13-7-20(37)24-22(8-13)41-30(12-2-4-16(33)19(36)6-12)29(39)26(24)25-23(42-30)10-17(34)14-9-21(38)27(40-28(14)25)11-1-3-15(32)18(35)5-11/h1-8,10,21,26-27,29,31-39H,9H2/t21?,26-,27?,29-,30-/m0/s1",NSEWTSAADLNHNH-BGSUMSLRSA-N,山楂
SZ-067,黄酮类,procyanidin B-2,原花青素B2,C30H26O12,578.1424,\,,OC1=CC(O)=C([C@]2([H])[C@@H](O)[C@@H](C3=CC=C(O)C(O)=C3)OC4=C2C(O)=CC(O)=C4)C5=C1C[C@@H](O)[C@@H](C6=CC(O)=C(O)C=C6)O5,"InChI=1S/C30H26O12/c31-13-7-20(37)24-23(8-13)41-29(12-2-4-16(33)19(36)6-12)27(40)26(24)25-21(38)10-17(34)14-9-22(39)28(42-30(14)25)11-1-3-15(32)18(35)5-11/h1-8,10,22,26-29,31-40H,9H2/t22-,26-,27-,28-,29-/m1/s1",XFZJEEAOWLFHDH-NFJBMHMQSA-N,山楂
SZ-068,黄酮类,procyanidin B-4,原花青素B4,C30H26O12,578.1424,\,,OC1=CC(O)=C([C@@]2([H])[C@H](O)[C@@H](C3=CC=C(O)C(O)=C3)OC4=C2C(O)=CC(O)=C4)C5=C1C[C@@H](O)[C@@H](C6=CC(O)=C(O)C=C6)O5,"InChI=1S/C30H26O12/c31-13-7-20(37)24-23(8-13)41-29(12-2-4-16(33)19(36)6-12)27(40)26(24)25-21(38)10-17(34)14-9-22(39)28(42-30(14)25)11-1-3-15(32)18(35)5-11/h1-8,10,22,26-29,31-40H,9H2/t22-,26+,27+,28-,29-/m1/s1",XFZJEEAOWLFHDH-VUGKQVTMSA-N,山楂
SZ-069,黄酮类,procyanidin B-5,原花青素B5,C44H34O20,882.1643,\,,OC1=C(O)C=C([C@@H]2C[C@H](OC(C3=CC(O)=C(O)C(O)=C3)=O)C4=C(O)C([C@@]5([H])C6=C(O)C=C(O)C=C6O[C@H](C7=CC(O)=C(O)C=C7)[C@@H]5OC(C8=CC(O)=C(O)C(O)=C8)=O)=C(O)C=C4O2)C=C1,"InChI=1S/C44H34O20/c45-19-11-24(50)34-31(12-19)62-41(16-2-4-21(47)23(49)6-16)42(64-44(60)18-9-28(54)39(57)29(55)10-18)37(34)35-25(51)13-32-36(40(35)58)33(14-30(61-32)15-1-3-20(46)22(48)5-15)63-43(59)17-7-26(52)38(56)27(53)8-17/h1-13,30,33,37,41-42,45-58H,14H2/t30-,33-,37+,41+,42+/m0/s1",PXCPGLGHRINDNQ-QFLQNLTNSA-N,山楂
SZ-070,黄酮类,procyanidin C-1,原花青素C1,C47H45O18,897.2606,\,,OC1=CC(O)=C(C)C2=C1C[C@@H](O)[C@@H](C3=CC(O)=C(O)C=C3)O2.[H]C4C5=C(O)C=C(O)C([C@]6([H])[C@@H](C)[C@@H](C7=CC=C(O)C(O)=C7)OC8=C6C(O)=CC(O)=C8)=C5O[C@H](C9=CC(O)=C(O)C=C9)[C@@H]4O.[OH],"InChI=1S/C31H28O11.C16H16O6.HO/c1-12-26(27-22(38)8-15(32)9-25(27)41-29(12)13-2-4-17(33)20(36)6-13)28-23(39)11-19(35)16-10-24(40)30(42-31(16)28)14-3-5-18(34)21(37)7-14;1-7-11(18)6-12(19)9-5-14(21)16(22-15(7)9)8-2-3-10(17)13(20)4-8;/h2-9,11-12,24,26,29-30,32-40H,10H2,1H3;2-4,6,14,16-21H,5H2,1H3;1H/t12-,24-,26-,29+,30-;14-,16-;/m11./s1",KXSCKHQQMUPHFB-COEMMNBLSA-N,山楂
SZ-071,黄酮类,epicatechin-(4β-6)-epicatechin-(4β-8)-epicatechin,\,C45H44O17,856.2578,\,,OC1=C(O)C=CC([C@H]2OC(CC(O)CC3O)C3[C@H](C4=CC([C@H](C5=C(O)C=C(O)C6=C5O[C@H](C7=CC=C(O)C(O)=C7)[C@H](O)C6)[C@@H](O)[C@@H](C8=CC(O)=C(O)C=C8)O9)=C9C=C4O)[C@H]2O)=C1,"InChI=1S/C45H44O17/c46-19-10-31(55)38-35(11-19)61-44(18-3-6-25(49)30(54)9-18)40(58)36(38)20-12-22-34(15-27(20)51)60-43(17-2-5-24(48)29(53)8-17)41(59)37(22)39-32(56)14-26(50)21-13-33(57)42(62-45(21)39)16-1-4-23(47)28(52)7-16/h1-9,12,14-15,19,31,33,35-38,40-44,46-59H,10-11,13H2/t19?,31?,33-,35?,36+,37-,38?,40-,41-,42-,43-,44-/m1/s1",GWHKRMZQSRDUKR-RVGMWUBYSA-N,山楂
SZ-072,黄酮类,procyanidin D-1,\,C61H52O23,1152.2899,\,,OC1=CC(O)=C([C@H](C2=C(O)C=C(O)C3=C2O[C@H](C4=CC=C(O)C(O)=C4)[C@H](O)[C@H]3C5=C(O)C=C(O)C6=C5O[C@H](C7=CC=C(O)C(O)=C7)[C@H](O)[C@H]6C8=C(O)C=C(O)C9=C8O[C@H](C%10=CC=C(O)C(O)=C%10)[C@H](O)C9)[C@@H](O)[C@@H](C%11=CC=C(O)C(O)=C%11)C%12)C%12=C1,"InChI=1S/C61H52O23/c62-25-9-24-10-26(20-1-5-28(63)33(68)11-20)53(79)50(44(24)37(72)15-25)46-39(74)18-41(76)48-52(55(81)58(83-60(46)48)23-4-8-31(66)36(71)14-23)49-42(77)19-40(75)47-51(54(80)57(84-61(47)49)22-3-7-30(65)35(70)13-22)45-38(73)17-32(67)27-16-43(78)56(82-59(27)45)21-2-6-29(64)34(69)12-21/h1-9,11-15,17-19,26,43,50-58,62-81H,10,16H2/t26-,43-,50-,51+,52-,53+,54-,55-,56-,57-,58-/m1/s1",RNIOJASLMANKDP-BVILBTABSA-N,山楂
SZ-073,黄酮类,epicatechin-(4β-8)-epicatechin-(4β-6)-epicatechin,\,C46H40O17,864.2265,\,,OC1=CC(O)=C([C@H](C2=C(O)C=C(O)C3=C2O[C@H](C4=CC(O)=C(O)C=C4)[C@H](O)[C@H]3C5=C(O)C(C[C@@H](C)[C@@H](C6=CC(O)=C(O)C=C6)O7)=C7C=C5O)[C@@H](O)[C@@H](C8=CC=C(O)C(O)=C8)O9)C9=C1,"InChI=1S/C46H40O17/c1-16-8-21-32(61-43(16)17-2-5-22(48)25(51)9-17)15-31(57)35(40(21)58)39-37-30(56)14-29(55)36(46(37)63-45(42(39)60)19-4-7-24(50)27(53)11-19)38-34-28(54)12-20(47)13-33(34)62-44(41(38)59)18-3-6-23(49)26(52)10-18/h2-7,9-16,38-39,41-45,47-60H,8H2,1H3/t16-,38-,39+,41-,42-,43+,44-,45-/m1/s1",SYTWZSXLVCOPJH-VECLUBNWSA-N,山楂
SZ-074,黄酮类,procyanidin E-1,\,C75H62O30,1442.3326,\,,OC1=CC(O)=C([C@H](C2=C(O)C=C(O)C3=C2O[C@H](C4=CC=C(O)C(O)=C4)[C@H](O)[C@H]3C5=C(O)C=C(O)C6=C5O[C@H](C7=CC=C(O)C(O)=C7)[C@H](O)[C@H]6C8=C(O)C=C(O)C9=C8O[C@H](C%10=CC=C(O)C(O)=C%10)[C@H](O)[C@H]9C%11=C(O)C=C(O)C%12=C%11O[C@H](C%13=CC=C(O)C(O)=C%13)[C@H](O)C%12)[C@@H](O)[C@@H](C%14=CC=C(O)C(O)=C%14)O%15)C%15=C1,"InChI=1S/C75H62O30/c76-28-16-41(88)51-50(17-28)101-68(24-2-7-31(78)37(84)12-24)63(97)59(51)53-43(90)20-45(92)55-61(65(99)70(103-73(53)55)26-4-9-33(80)39(86)14-26)57-47(94)22-48(95)58-62(66(100)71(105-75(57)58)27-5-10-34(81)40(87)15-27)56-46(93)21-44(91)54-60(64(98)69(104-74(54)56)25-3-8-32(79)38(85)13-25)52-42(89)19-35(82)29-18-49(96)67(102-72(29)52)23-1-6-30(77)36(83)11-23/h1-17,19-22,49,59-71,76-100H,18H2/t49-,59-,60+,61-,62+,63-,64-,65-,66-,67-,68-,69-,70-,71-/m1/s1",QRFZGLTZLZZHCM-NWYMYRDLSA-N,山楂
SZ-075,黄酮类,2′-hydroxy-7-(3-hydroxypropyl)-6-methoxyflavone,2′-羟基-7-(3-羟丙基)-6-甲氧基-黄酮,C19H18O5,326.1154,\,,O=C1C2=CC([MeO])=C(CCCO)C=C2OC(C3=C(O)C=CC=C3)=C1,,,山楂
SZ-076,黄酮类,kandelin A-1,\,C39H32O15,740.7,88903-77-9,,OC1=CC([C@@H]2[C@H](O)[C@@]([H])(C3=C(O)C=C(O)C(CCO)=C3CCC4=CC=C(O)C(O)=C4)C(C(O)=CC(O5)=C6[C@@H](C7=CC(O)=C(O)C=C7)CC5=O)=C6O2)=CC=C1O,"InChI=1S/C40H36O14/c41-10-9-20-21(5-1-17-2-6-23(42)27(46)11-17)34(30(49)15-26(20)45)37-36-31(50)16-32-35(22(14-33(51)53-32)18-3-7-24(43)28(47)12-18)40(36)54-39(38(37)52)19-4-8-25(44)29(48)13-19/h2-4,6-8,11-13,15-16,22,37-39,41-50,52H,1,5,9-10,14H2/t22-,37+,38-,39-/m1/s1",GFZBQAIZZNPOOU-ACSJBREASA-N,山楂
SZ-077,有机酸类,benzoic acid,安息香酸（苯甲酸）,C7H6O2,122.12,65-85-0,,OC(C1=CC=CC=C1)=O,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",WPYMKLBDIGXBTP-UHFFFAOYSA-N,山楂
SZ-078,有机酸类,(p-hydroxyphenyl) benzoic acid,对羟基苯甲酸,C7H2D4O3,142.145,152404-47-2,,OC(C1=C([2H])C([2H])=C(O)C([2H])=C1[2H])=O,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)/i1D,2D,3D,4D",FJKROLUGYXJWQN-RHQRLBAQSA-N,山楂
SZ-079,有机酸类,gallic acid,没食子酸,C7H6O5,170.12,149-91-7,,O=C(C1=CC(O)=C(O)C(O)=C1)O,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N,山楂
SZ-080,有机酸类,protocatechuic acid,原儿茶酸,C7H6O4,154.12,99-50-3,,OC1=CC=C(C(O)=O)C=C1O,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N,山楂
SZ-081,有机酸类,anisic acid,茴香酸,C8H8O3,152.0473,\,,[H]C1=C([H])C(C(O)=O)=C([H])C([H])=C1OC,"InChI=1S/C8H8O3/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3,(H,9,10)",ZEYHEAKUIGZSGI-UHFFFAOYSA-N,山楂
SZ-082,有机酸类,vanillic acid,香草酸,C8H8O4,168.147,121-34-6,,OC1=CC=C(C(O)=O)C=C1OC,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",WKOLLVMJNQIZCI-UHFFFAOYSA-N,山楂
SZ-083,有机酸类,syringic acid,丁香酸,C9H10O5,198.173,530-57-4,,COC(C=C1C(O)=O)=C(C(OC)=C1)O,"InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)",JMSVCTWVEWCHDZ-UHFFFAOYSA-N,山楂
SZ-084,有机酸类,gentisic acid,龙胆酸,C7H6O4,154.12,490-79-9,,OC(C1=CC(O)=CC=C1O)=O,"InChI=1S/C7H6O4/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,8-9H,(H,10,11)",WXTMDXOMEHJXQO-UHFFFAOYSA-N,山楂
SZ-085,有机酸类,3-ethoxy-4-hydroxybenzoic acid,3-乙氧基-4-羟基苯甲酸,C9H10O4,182.173,5438-38-0,,OC1=CC=C(C(O)=O)C=C1OCC,"InChI=1S/C9H10O4/c1-2-13-8-5-6(9(11)12)3-4-7(8)10/h3-5,10H,2H2,1H3,(H,11,12)",QFDSMZGWVHEDHT-UHFFFAOYSA-N,山楂
SZ-086,有机酸类,4-ethoxybenzoic acid,对乙氧基苯甲酸,C9H10O3,166.174,619-86-3,,O=C(C(C=C1)=CC=C1OCC)O,"InChI=1S/C9H10O3/c1-2-12-8-5-3-7(4-6-8)9(10)11/h3-6H,2H2,1H3,(H,10,11)",SHSGDXCJYVZFTP-UHFFFAOYSA-N,山楂
SZ-087,有机酸类,p-toluic acid,对甲基苯甲酸,C8H8O2,136.148,99-94-5,,OC(C1=CC=C(C)C=C1)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)",LPNBBFKOUUSUDB-UHFFFAOYSA-N,山楂
SZ-088,有机酸类,3-methoxy-4-methylbenzoic acid,3-甲氧基-4-甲基苯甲酸,C9H10O3,166.174,7151-68-0,,COC1=CC(C(O)=O)=CC=C1C,"InChI=1S/C9H10O3/c1-6-3-4-7(9(10)11)5-8(6)12-2/h3-5H,1-2H3,(H,10,11)",CEAVPXDEPGAVDA-UHFFFAOYSA-N,山楂
SZ-089,有机酸类,β-coumaric acid,β-香豆酸,C9H8O3,164.0673,\,,OC1=C([H])C=C(/C=C/C(O)=O)C=C1,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+",NGSWKAQJJWESNS-ZZXKWVIFSA-N,山楂
SZ-090,有机酸类,caffeic acid,咖啡酸,C9H8O4,180.157,331-39-5,,OC1=C(O)C=C(/C=C/C(O)=O)C=C1,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+",QAIPRVGONGVQAS-DUXPYHPUSA-N,山楂
SZ-091,有机酸类,ferulic acid,阿魏酸,C10H10O4,194.184,1135-24-6,,OC1=C(OC)C=C(/C=C/C(O)=O)C=C1,"InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",KSEBMYQBYZTDHS-HWKANZROSA-N,山楂
SZ-092,有机酸类,shikimic acid,莽草酸,C7H10O5,174.151,138-59-0,,OC1=C(O)C(O)=CC(C(O)=O)=C1,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N,山楂
SZ-093,有机酸类,3-(4-methoxyphenyl) propionic acid,对甲氧基苯丙酸,C10H12O3,180.201,1929-29-9,,OC1=C([CH3]=O)C=CC(CCC(O)=O)=C1,"InChI=1S/C10H12O4/c11-6-8-3-1-7(5-9(8)12)2-4-10(13)14/h1,3,5,12H,2,4H2,6H3,(H,13,14)",CNNDRXLFGWJDGW-UHFFFAOYSA-N,山楂
SZ-094,有机酸类,3-(4-hydroxyphenyl) propionic acid,根皮酸,C9H10O3,166.174,501-97-3,,OC1=CC=C(CCC(O)=O)C=C1,"InChI=1S/C9H10O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-2,4-5,10H,3,6H2,(H,11,12)",NMHMNPHRMNGLLB-UHFFFAOYSA-N,山楂
SZ-095,有机酸类,cinnamic acid,肉桂酸,C9H8O2,148.159,621-82-9,,OC(CCC1=CC=CC=C1)=O,"InChI=1S/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)",XMIIGOLPHOKFCH-UHFFFAOYSA-N,山楂
SZ-096,有机酸类,trans-p-hydroxycinnamic acid,反式对羟基桂皮酸,C9H8O3,164.158,501-98-4,,OC(/C=C/C1=CC=C(O)C=C1)=O,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+",NGSWKAQJJWESNS-ZZXKWVIFSA-N,山楂
SZ-097,有机酸类,p-acetoxycinnamic acid,反式对乙氧基桂皮酸,C11H10O4,206.195,15486-19-8,,O=C(O)/C=C/C1=CC=C(OC(C)=O)C=C1,"InChI=1S/C11H10O4/c1-8(12)15-10-5-2-9(3-6-10)4-7-11(13)14/h2-7H,1H3,(H,13,14)/b7-4+",BYHBHNKBISXCEP-QPJJXVBHSA-N,山楂
SZ-098,有机酸类,malic acid,苹果酸,C4H6O5,134.087,6915-15-7,,OC(CC(O)C(O)=O)=O,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)",BJEPYKJPYRNKOW-UHFFFAOYSA-N,山楂
SZ-099,有机酸类,citric acid,枸橼酸,C6H8O7,192.124,77-92-9,,OC(CC(CC(O)=O)(O)C(O)=O)=O,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",KRKNYBCHXYNGOX-UHFFFAOYSA-N,山楂
SZ-100,有机酸类,quinic acid,奎尼酸,C7H12O6,192.2,77-95-2,,C[C@@]1(C(O)=O)C[C@@H](O)[C@@H](O)[C@H](C)C1.[OH].[OH],"InChI=1S/C9H16O4.2HO/c1-5-3-9(2,8(12)13)4-6(10)7(5)11;;/h5-7,10-11H,3-4H2,1-2H3,(H,12,13);2*1H/t5-,6-,7+,9+;;/m1../s1",RGUDAISBPNUZPZ-LYTJVHSLSA-N,山楂
SZ-101,有机酸类,pyruvic acid,丙酮酸,C3H4O3,88.062,127-17-3,,CC(C(O)=O)=O,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)",LCTONWCANYUPML-UHFFFAOYSA-N,山楂
SZ-102,有机酸类,tartaric acid,酒石酸,C4H6O6,150.087,87-69-4,,OC([C@H](O)[C@@H](O)C(O)=O)=O,"InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)/t1-,2-/m1/s1",FEWJPZIEWOKRBE-JCYAYHJZSA-N,山楂
SZ-103,有机酸类,chlorogenic acid,绿原酸,C16H18O9,354.309,327-97-9,,O[C@H]1[C@@H](O)[C@H](OC(/C=C/C2=CC(O)=C(O)C=C2)=O)C[C@](O)(C(O)=O)C1,"InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m1/s1",CWVRJTMFETXNAD-JUHZACGLSA-N,山楂
SZ-104,有机酸类,succinic acid,琥珀酸,C4H6O4,118.088,110-15-6,,OC(CCC(O)=O)=O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",KDYFGRWQOYBRFD-UHFFFAOYSA-N,山楂
SZ-105,有机酸类,fumarie acid,延胡索酸,C4H4O4,116.072,110-17-8,,O=C(/C=C/C(O)=O)O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+",VZCYOOQTPOCHFL-OWOJBTEDSA-N,山楂
SZ-106,有机酸类,ascorbic acid,抗坏血酸,C6H8O6,176.124,50-81-7,,O=C1C(O)=C(O)[C@@H]([C@@H](O)CO)O1,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/t2-,5+/m0/s1",CIWBSHSKHKDKBQ-JLAZNSOCSA-N,山楂
SZ-107,有机酸类,acetic acid,乙酸,C2H4O2,60.05,77671-22-8,,CC([H])=O,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",IKHGUXGNUITLKF-UHFFFAOYSA-N,山楂
SZ-108,有机酸类,oxalic acid,草酸,C2H2O4,90.035,144-62-7,,O=C(O)C(O)=O,"InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)",MUBZPKHOEPUJKR-UHFFFAOYSA-N,山楂
SZ-109,有机酸类,palmitic acid,棕榈酸,C16H32O2,256.424,  57-10-3,,OC(CCCCCCCCCCCCCCC)=O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,山楂
SZ-110,有机酸类,stearic acid,硬脂酸,C18H36O2,284.477, 57-11-4,,OC(CCCCCCCCCCCCCCCCC)=O,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)",QIQXTHQIDYTFRH-UHFFFAOYSA-N,山楂
SZ-111,有机酸类,oleic acid,油酸,C18H34O2,282.461,112-80-1,,OC(CCCCCCC/C=C\CCCCCCCC)=O,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-",ZQPPMHVWECSIRJ-KTKRTIGZSA-N,山楂
SZ-112,有机酸类,linoleic acid,亚油酸,C18H32O2,280.445,60-33-3,,CCCCC/C=C\C/C=C\CCCCCCCC(O)=O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",OYHQOLUKZRVURQ-HZJYTTRNSA-N,山楂
SZ-113,有机酸类,α-linolenic acid,亚麻酸,C18H30O2,278.43,463-40-1,,O=C(O)CCCCCCC/C=C\C/C=C\C/C=C\CC,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)/b4-3-,7-6-,10-9-",DTOSIQBPPRVQHS-PDBXOOCHSA-N,山楂
SZ-114,有机酸类,arachidic acid,花生酸,C20H40O2,312.53,506-30-9,,O=C(O)CCCCCCCCCCCCCCCCCCC,"InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)",VKOBVWXKNCXXDE-UHFFFAOYSA-N,山楂
SZ-115,有机酸类,behenic acid,山嵛酸,C22H44O2,340.584,112-85-6,,O=C(O)CCCCCCCCCCCCCCCCCCCCC,"InChI=1S/C22H44O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h2-21H2,1H3,(H,23,24)",UKMSUNONTOPOIO-UHFFFAOYSA-N,山楂
SZ-116,有机酸类,levulinic acid,4-氧代戊酸,C5H8O3,116.115,123-76-2,,CC(CCC(O)=O)=O,"InChI=1S/C5H8O3/c1-4(6)2-3-5(7)8/h2-3H2,1H3,(H,7,8)",JOOXCMJARBKPKM-UHFFFAOYSA-N,山楂
SZ-117,有机酸类,lauric acid,月桂酸,C12H24O2,200.318,143-07-7,,CCCCCCCCCCCC(O)=O,"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)",POULHZVOKOAJMA-UHFFFAOYSA-N,山楂
SZ-118,有机酸类,nonanedioic acid,壬二酸,C9H16O4,188.221,123-99-9,,O=C(O)CCCCCCCC(O)=O,"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)",BDJRBEYXGGNYIS-UHFFFAOYSA-N,山楂
SZ-119,有机酸类,myristic acid,肉豆蔻酸,C14H28O2,228.371,544-63-8,,O=C(O)CCCCCCCCCCCCC,"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)",TUNFSRHWOTWDNC-UHFFFAOYSA-N,山楂
SZ-120,有机酸类,heptadecanoic acid,十七酸,C17H34O2,270.451,506-12-7,,O=C(O)CCCCCCCCCCCCCCCC,"InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)",KEMQGTRYUADPNZ-UHFFFAOYSA-N,山楂
SZ-121,有机酸类,2-hydroxy-hexadecanoic acid,2-羟基十六酸,C16H32O3,272.423,10067-06-8,,CCCCCCCCCCCCCCCC(O)=O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,山楂
SZ-122,有机酸类,nonadecanoic acid,十九碳酸,C19H38O2,298.504,646-30-0,,O=C(O)CCCCCCCCCCCCCCCCCC,"InChI=1S/C19H38O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21/h2-18H2,1H3,(H,20,21)",ISYWECDDZWTKFF-UHFFFAOYSA-N,山楂
SZ-123,有机酸类,tridecanedioic acid,十三碳二酸,C13H24O4,244.327,505-52-2,,OC(CCCCCCCCCCCC(O)=O)=O,"InChI=1S/C13H24O4/c14-12(15)10-8-6-4-2-1-3-5-7-9-11-13(16)17/h1-11H2,(H,14,15)(H,16,17)",DXNCZXXFRKPEPY-UHFFFAOYSA-N,山楂
