编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey
JH-085,,"5-hydroxy-1,7-bis(4-hydroxyphenyl)hepta-1,4,6-trien-3-one",115851-81-5,308.3287,C19H16O4,,其他,CC(C)=CC(=O)CC(C)C1=CC=C(C)C=C1,"InChI=1S/C15H20O/c1-12(2)8-7-14(16)11(3)13-9-10(4)5-6-13/h5-6,9,11H,7-8H2,1-4H3",KQZXZCGSSPTOFK-UHFFFAOYSA-N
JH-086,,(6r)-2-methyl-6-(4-methylphenyl)hept-2-en-4-one,1141-54-4,216.3193,C15H20O,,萜类,C(CC(C)C)C1=CC=C(C)C=C1,"InChI=1S/C12H18/c1-10(2)8-12-6-4-9(3)5-7-12/h4-7,10H,8H2,1-3H3",LBQYVRUSQWWIQH-UHFFFAOYSA-N
JH-087,,(-)-β-bisabolene,495-61-4,204.3516,C15H24,,萜类,CC(C)C1=CC=C(C)C=C1,"InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-7H,8H2,1-3H3",XLPDVYGDNRIQFV-UHFFFAOYSA-N
JH-088,,"(4r,6s)-2-methyl-6-(4-methylphenyl)hept-2-en-4-ol",,218.3351,C15H22O,,萜类,,,
JH-089,二氢姜黄素,Dihydrocurcumin,943330-36-7,370.3966,C21H22O6,,其他,COC1=C(C=CC(=C1)CCC(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,"InChI=1S/C21H22O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h3,5-7,9-12,24-25H,4,8,13H2,1-2H3/b7-3+",MUYJSOCNDLUHPJ-XVNBXDOJSA-N
JH-090,2-(4-甲基苯基)丙-2-醇,P-cymen-8-ol,1197-01-9,150.2179,C10H14O,,萜类,Cc1ccc(C(C)(C)O)cc1,"InChI=1S/C10H14O/c1-8-4-6-9(7-5-8)10(2,3)11/h4-7,11H,1-3H3",XLPDVYGDNRIQFV-UHFFFAOYSA-N
JH-091,硬脂酸,Stearic acid,57—11—4,284.4779,C18H36O2,,脂肪酸,CC(N)=O,"1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",OOHIGOIEQKKEPK-UHFFFAOYSA-N
JH-092,,"(1e,6e)-1-(4-hydroxy-3,5-dimethoxyphenyl)-7-(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",144761-33-1,398.4067,C22H22O7,,其他,COC1=CC(/C=C/C(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O,"1S/C21H20O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h3-12,24-25H,13H2,1-2H3/b7-3+,8-4+",VFLDPWHFBUODDF-FCXRPNKRSA-N
JH-093,右旋香芹酮,"Carvone, (+)-",2244-16-8,150.2179,C10H14O,,萜类,CC1=CCC(CC1=O)C(=C)C,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9H,1,5-6H2,2-3H3",ULDHMXUKGWMISQ-VIFPVBQESA-N
JH-094,,"(1e,4z,6e)-5-hydroxy-7-(4-hydroxy-3-methoxyphenyl)-1-(4-hydroxyphenyl)hepta-1,4,6-trien-3-one",,338.3547,C20H18O5,,其他,,,
JH-095,,"(1e,6e)-1-(4-hydroxy-3-methoxyphenyl)-7-(4-hydroxy-5-methoxycyclohexa-1,3-dien-1-yl)hepta-1,6-diene-3,5-dione",,370.3966,C21H22O6,,其他,,,
JH-096,阿魏酸,Ferulic acid,1135-24-6,194.1844,C10H10O4,,酚酸类,COC1=C(C=CC(=C1)C=CC(=O)O)O,"InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",KSEBMYQBYZTDHS-HWKANZROSA-N
JH-097,丙酸酐,Propionic anhydride,123-62-6,130.142,C6H10O3,,其他,CCC(=O)OC(=O)CC,"InChI=1S/C6H10O3/c1-3-5(7)9-6(8)4-2/h3-4H2,1-2H3",WYVAMUWZEOHJOQ-UHFFFAOYSA-N
JH-098,1-乙基-4-(2-甲基丙基)苯,1-ethyl-4-(2-methylpropyl)benzene,100319-40-2,162.2718,C12H18,,其他,CCC1=CC=C(C=C1)CC(C)C,"InChI=1S/C12H18/c1-4-11-5-7-12(8-6-11)9-10(2)3/h5-8,10H,4,9H2,1-3H3",FMHWAAZOTFVMKR-UHFFFAOYSA-N 
JH-099,"戊酸-3,7-二甲基-6-辛烯基酯",Citronellyl valerate,7540-53-6,240.3822,C15H28O2,,挥发油类,CCCCC(=O)OCCC(C)CCC=C(C)C,"InChI=1S/C15H28O2/c1-5-6-10-15(16)17-12-11-14(4)9-7-8-13(2)3/h8,14H,5-7,9-12H2,1-4H3",PFOJEJPZUVQHEH-UHFFFAOYSA-N 
JH-100,,"2,6,6,8-tetramethyltricyclo[5.3.1.0¹,⁵]undec-9-ene",19069-48-8,204.3516,C15H24,,挥发油类,C123CC=C(C)C(C1)C(C)(C)C2CCC3C,"InChI=1S/C15H24/c1-10-7-8-15-9-12(10)14(3,4)13(15)6-5-11(15)2/h7,11-13H,5-6,8-9H2,1-4H3",IRAQOCYXUMOFCW-UHFFFAOYSA-N
JH-101,"(1R,9R)-2,6,10,10-四甲基双环[7.2.0]十一烷",Caryophyllane,20479-00-9,208.3834,C15H28,,挥发油类,CC(C)=CC(=O)C=C(C)C,"InChI=1S/C8H12O/c1-6(2)5-8(9)7(3)4/h5H,1-4H3",JXPOLSKXXHLVCM-UHFFFAOYSA-N
JH-102,,2-methyl-6-(4-methylcyclohex-3-en-1-yl)heptan-3-one,,222.3669,C15H26O,,挥发油类,,,
JH-103,,"4-methylpentacyclo[7.3.1.1⁴,¹².0²,⁷.0⁶,¹¹]tetradecane",,202.3357,C15H22,,挥发油类,,,
JH-104,,1-methoxytetradec-1-ene,,226.3987,C15H30O,,挥发油类,,,
JH-105,茴香烯,(e)-anethole,4180-23-8,148.2021,C10H12O,,挥发油类,COC1=CC=C(\C=C\C)C=C1,"1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3+",RUVINXPYWBROJD-ONEGZZNKSA-N
JH-106,,(3z)-3-hexadecene,,224.4259,C16H32,,挥发油类,,,
JH-107,薄荷呋喃,Menthofuran,494-90-6,150.2179,C10H14O,,挥发油类,C1=CC=C(C=C1)C(=O)O,"1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",JXTHNDFMNIQAHM-UHFFFAOYSA-N
JH-108,,2-methyl-3h-furan-2-ol,,100.116,C5H8O2,,挥发油类,,,
JH-109,,"2,2,7,7-tetramethyltetracyclo[6.2.1.0¹,⁶.0⁶,¹⁰]undecane",,204.3516,C15H24,,挥发油类,,,
JH-110,薑萜,Zingiberene,158848-19-2,204.3516,C15H24,,挥发油类,COC1=C(C(=C(C2=C1C(=O)CC(O2)C3=CC=CC=C3)O)OC)OC,"InChI=1S/C18H18O6/c1-21-16-13-11(19)9-12(10-7-5-4-6-8-10)24-15(13)14(20)17(22-2)18(16)23-3/h4-8,12,20H,9H2,1-3H3",OHMCJAVUWDAGRU-UHFFFAOYSA-N
JH-111,二氢姜黄素,"(4z,6e)-5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-4,6-dien-3-one",76474-56-1,370.3966,C21H22O6,,其他,C(C1=CC=C(O)C(OC)=C1)CC(=O)/C=C(\O)/C=C/C1=CC=C(O)C(OC)=C1,"InChI=1S/C21H22O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h3,5-7,9-13,22,24-25H,4,8H2,1-2H3/b7-3+,16-13-",BWHPKBOLJFNCPW-YJNULWIISA-N
JH-112,,Monodemethylcurcumin,,354.3541,C20H18O6,,其他,,,
JH-113,,"(1e)-7-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hept-1-ene-3,5-dione",,386.396,C21H22O7,,其他,,,
JH-114,2H-1-苯并吡喃-2-酮,2h-1-benzopyran-2-one,103802-83-1,146.1431,C9H6O2,,香豆素类,O=C1C=COC2=CC=CC=C12,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N
JH-115,,6-(3-hydroxy-4-methylphenyl)-2-methylhept-2-en-4-one,139085-16-8,232.3187,C15H20O2,,其他,C/C(=C/C(=O)C(C)CC1=C(O)C=C(C)C=C1)/C,"InChI=1S/C15H20O2/c1-10(2)7-14(16)8-12(4)13-6-5-11(3)15(17)9-13/h5-7,9,12,17H,8H2,1-4H3",OSIFVLKZUWRNBN-UHFFFAOYSA-N
JH-116,,(3e)-4-(4-hydroxy-3-methoxyphenyl)-2-oxobut-3-en-1-yl (2e)-3-(4-hydroxyphenyl)prop-2-enoate,1446205-54-4,354.3541,C20H18O6,,酚酸类,,,
JH-117,,(3e)-4-(4-hydroxy-3-methoxyphenyl)-2-oxobut-3-en-1-yl (2e)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate,62267-81-6,384.3801,C21H20O7,,其他,C(OCCCCCCCCCCCCCCCCCCCCCC)(=O)/C=C/C1=CC=C(O)C(OC)=C1,"InChI=1S/C32H54O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27-36-32(34)26-24-29-23-25-30(33)31(28-29)35-2/h23-26,28,33H,3-22,27H2,1-2H3/b26-24+",USNYNNITUQSEEV-SHHOIMCASA-N
JH-118,,6-(2-hydroxy-4-methylphenyl)-2-methylhept-2-en-4-one,139085-15-7,232.3187,C15H20O2,,其他,CC1=CC(=C(C=C1)C(C)CC(=O)C=C(C)C)O,"InChI=1S/C15H20O2/c1-10(2)7-13(16)9-12(4)14-6-5-11(3)8-15(14)17/h5-8,12,17H,9H2,1-4H3",WYIJOOQDLOBLCP-UHFFFAOYSA-N
JH-119,,"5-hydroxy-7-(4-hydroxy-3-methoxyphenyl)-1-(4-hydroxyphenyl)hepta-4,6-dien-3-one",,340.3706,C20H20O5,,其他,,,
JH-120,,"(1e,4z,6e)-5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)-7-(4-hydroxyphenyl)hepta-1,4,6-trien-3-one",,338.3547,C20H18O5,,其他,,,
JH-121,1-(4-甲基苯基)-1-乙醇,1-p-tolylethanol,536-50-5,136.1913,C9H12O,,挥发油类,CC1=CCC(CC1=O)C(C)C,"InChI=1S/C10H16O/c1-7(2)10-5-4-8(3)6-9(10)11/h4,7-8,10H,5-6H2,1-3H3",ULDHMXUKGWMISQ-UHFFFAOYSA-N
JH-122,,"(1s,2s,5r)-2-methyl-5-[(2s)-6-methylhept-5-en-2-yl]cyclohex-3-ene-1,2-diol",915301-61-0,238.3663,C15H26O2,,挥发油类,C/C1=C\CCC@H[C@H]2CCC(=C)C=C2/C=C/1,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,10,14-15H,3,5,7,9,11H2,1-2,4H3/t14-,15+/m0/s1",PHWISBHSBNDZDX-LSDHHAIUSA-N
JH-123,薄荷呋喃,"3,9-epoxy-p-mentha-3,8-diene",494-90-6,150.2179,C10H14O,,挥发油类,CC(C)=CC(=O)CC(C)C1=CC=C(C)C=C1,"InChI=1S/C15H20O/c1-12(2)8-7-14(16)11(3)13-9-10(4)5-6-13/h5-6,9,11H,7-8H2,1-4H3",KQZXZCGSSPTOFK-UHFFFAOYSA-N
JH-124,水合桧烯,(+)-sabinene,2009-00-9,136.2344,C10H16,,挥发油类,C/C=C(/C)C1CCC(C)CC1O,"InChI=1S/C10H20O/c1-8(2)10-5-4-9(3)6-7-10/h4,8,10H,5-7H2,1-3H3",KGPQDJLYUGVGHM-UHFFFAOYSA-N
JH-125,,"2-[(1e,3z,7z)-4,8-dimethyl-10-oxocyclodeca-3,7-dien-1-ylidene]propanal",,232.3187,C15H20O2,,挥发油类,,,
JH-126,,Turmerone,82508-15-4,218.3351,C15H22O,,萜类,C/C1=C\CCC@H[C@H]2CCC(=C)C=C2/C=C/1,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,10,14-15H,3,5,7,9,11H2,1-2,4H3/t14-,15+/m0/s1",PHWISBHSBNDZDX-LSDHHAIUSA-N
JH-127,,"2-methyl-5-[(2s)-6-methylhept-5-en-2-yl]cyclohexa-1,3-diene",495-60-3,204.3516,C15H24,,萜类,C/C=C(/C)C1CCC(C)CC1O,"InChI=1S/C10H20O/c1-8(2)10-5-4-9(3)6-7-10/h4,8,10H,5-7H2,1-3H3",ABOHPALIBJVGCR-UHFFFAOYSA-N
JH-128,,4-(4-hydroxy-3-methoxyphenyl)-2-oxobut-3-en-1-yl 3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate,,384.3801,C21H20O7,,酚酸类,,,
JH-129,,Hexadecenoate,,254.4088,C16H30O2,,脂肪酸,,,
JH-130,,"2-[(1e,3e,7e)-4,8-dimethyl-10-oxocyclodeca-3,7-dien-1-ylidene]propanal",,232.3187,C15H20O2,,挥发油类,,,
JH-131,香草醛縮丙酮,Dehydrozingerone,1080-12-2,192.2116,C11H12O3,,其他,COc1cc(C=CC(C)=O)ccc1O,"InChI=1S/C11H12O3/c1-8(12)3-4-9-5-6-10(13)11(7-9)14-2/h3-7,13H,1-2H3",AFWKBSMFXWNGRE-ONEGZZNKSA-N
JH-132,,(6s)-6-(2-hydroxy-4-methylphenyl)-2-methylhept-2-en-4-one,131651-38-2,232.3187,C15H20O2,,其他,C/C(=C/C(=O)C(C)CC1=C(O)C=C(C)C=C1)/C,"InChI=1S/C15H20O2/c1-10(2)7-13(16)9-12(4)14-6-5-11(3)8-15(14)17/h5-8,12,17H,9H2,1-4H3/t12-/m0/s1",WYIJOOQDLOBLCP-LBPRGKRZSA-N
JH-133,,(6s)-6-(3-hydroxy-4-methylphenyl)-2-methylhept-2-en-4-one,139085-16-8,232.3187,C15H20O2,,其他,CC(C)=CC(=O)CC(C)c1ccc(C)c(O)c1,"InChI=1S/C15H20O2/c1-10(2)7-14(16)8-12(4)13-6-5-11(3)15(17)9-13/h5-7,9,12,17H,8H2,1-4H3",OSIFVLKZUWRNBN-UHFFFAOYSA-N
JH-134,,"(5r,6r)-5-hydroxy-2-methyl-6-(4-methylphenyl)hept-2-en-4-one",,232.3187,C15H20O2,,其他,smiles,inchi,inchikey
JH-135,,(6s)-6-(4-hydroxy-3-methylphenyl)-2-methylhept-2-en-4-one,949081-05-4,232.3187,C15H20O2,,其他,CC1=C(C=CC(=C1)C(C)CC(=O)C=C(C)C)O,"InChI=1S/C15H20O2/c1-10(2)7-14(16)9-11(3)13-5-6-15(17)12(4)8-13/h5-8,11,17H,9H2,1-4H3/t11-/m0/s1",IBJADFSTHKILPU-NSHDSACASA-N
JH-136,,6-(4-hydroxy-4-methylcyclohex-2-en-1-yl)-2-methylhept-2-en-4-one,,236.3504,C15H24O2,,其他,,,
JH-137,桉叶油醇,"1,8-cineole",470-82-6,154.2497,C10H18O,,挥发油类,CC12CCC(CC1)C(C)(C)O2,"InChI=1S/C10H18O/c1-9(2)8-4-6-10(3,11-9)7-5-8/h8H,4-7H2,1-3H3",WEEGYLXZBRQIMU-UHFFFAOYSA-N
JH-138,,"4-amino-3-[(1e)-2-{4'-[(1e)-2-(1-amino-4-sulfonaphthalen-2-yl)diazen-1-yl]-[1,1'-biphenyl]-4-yl}diazen-1-yl]naphthalene-1-sulfonic acid",,652.7029,C32H24N6O6S2,,挥发油类,,,
JH-139,,"5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)-7-(4-hydroxyphenyl)hepta-1,4,6-trien-3-one",,338.3547,C20H18O5,,其他,,,
JH-140,香茅醛,Citronella,106-23-0,154.2497,C10H18O,,挥发油类,CC(CCC=C(C)C)CC=O,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,8,10H,4,6-7H2,1-3H3",NEHNMFOYXAPHSD-UHFFFAOYSA-N
JH-141,,(6s)-3-methyl-6-[(2s)-6-methyl-4-oxohept-5-en-2-yl]cyclohex-2-en-1-one,,234.3345,C15H22O2,,挥发油类,,,
JH-142,,"4-amino-3-(2-{4'-[2-(1-amino-4-sulfonaphthalen-2-yl)diazen-1-yl]-[1,1'-biphenyl]-4-yl}diazen-1-yl)naphthalene-1-sulfonic acid",,652.7029,C32H24N6O6S2,,挥发油类,,,
JH-143,,6-(4-hydroxy-3-methylphenyl)-2-methylhept-2-en-4-one,949081-05-4,232.3187,C15H20O2,,其他,CC(C)=CC(=O)CC@Hc1ccc(C)c(O)c1,"InChI=1S/C15H20O2/c1-10(2)8-7-14(16)11(3)13-9-12(4)5-6-13/h5-6,9,11H,7-8H2,1-4H3",IBJADFSTHKILPU-NSHDSACASA-N
JH-144,,4-(4-hydroxyphenyl)-2-oxobut-3-en-1-yl 3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate,,354.3541,C20H18O6,,酚酸类,,,
JH-145,"4-(1,5-二甲基-4-己烯亚基)-1-甲基环己烯",(z)-γ-bisabolene,495-62-5,204.3516,C15H24,,萜类,C/C=C(/C)C1CCC(C)=CC1O,"InChI=1S/C10H18O/c1-8(2)10-5-4-9(3)6-7-10/h4,8,10H,5-7H2,1-3H3",ABOHPALIBJVGCR-UHFFFAOYSA-N
JH-146,水芹烯,Phellandrene,4221-98-1,136.2344,C10H16,,萜类,C/C=C(/C)C1CCC(C)CC1O,"InChI=1S/C10H20O/c1-8(2)10-5-4-9(3)6-7-10/h4,8,10H,5-7H2,1-3H3",KGPQDJLYUGVGHM-UHFFFAOYSA-N
JH-147,,"2-(4,8-dimethyl-10-oxocyclodeca-3,7-dien-1-ylidene)propanal",,232.3187,C15H20O2,,萜类,,,
JH-148,,"(6s,7r,10s)-7-isopropyl-4,10-dimethyltricyclo[4.4.0.0¹,⁵]dec-3-ene",,204.3516,C15H24,,萜类,,,
JH-149,去甲氧基姜黄素,"(6e)-7-(4-hydroxy-3-methoxyphenyl)-1-(4-hydroxyphenyl)hepta-1,6-diene-3,5-dione",22608-11-3,338.3547,C20H18O5,,其他,COC1=CC(/C=C/C(=O)C/C=C/C2=CC=C(O)C=C2)=CC=C1O,"InChI=1S/C20H18O5/c1-25-20-12-12(5-6-16(20)22)4-11-17(21)10-14-7-13(19(14)20)2-3-15(21)24-9-14/h2-8,10,19,22H,9H2,1H3/b11-4+,12-6+",MEYBTZRBKDWAHI-IPSUFFRPSA-N
JH-150,,"2-methyl-5-(6-methylhept-5-en-2-yl)cyclohex-3-ene-1,2-diol",915301-61-0,238.3663,C15H26O2,,萜类,C/C1=C\CCC@H[C@H]2CCC(=C)C=C2/C=C/1,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,10,14-15H,3,5,7,9,11H2,1-2,4H3/t14-,15+/m0/s1",PHWISBHSBNDZDX-LSDHHAIUSA-N
JH-151,,(-)-cis-sabinol,3310—02-9,152.2338,C10H16O,,萜类,CC1=CC(=C(C=C1)C(C)CCC=C(C)C)O,"InChI=1S/C15H22O/c1-11(2)6-5-7-12(3)14-9-8-13(4)15(16)10-14/h6,8-10,12,16H,5,7H2,1-4H3/t12-/m1/s1",FKWGCEDRLNNZOZ-GFCCVEGCSA-N
JH-152,,"2-methyl-5-(6-methylhept-5-en-2-yl)cyclohex-2-ene-1,4-diol",,238.3663,C15H26O2,,萜类,,,
JH-153,,(3e)-4-(4-hydroxyphenyl)-2-oxobut-3-en-1-yl (2e)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate,,354.3541,C20H18O6,,酚酸类,,,
JH-154,"1,7-二(4-羟基苯基)-3-羟基-1,3-庚二烯-5-酮","5-hydroxy-1,7-bis(4-hydroxyphenyl)hepta-4,6-dien-3-one",207792-17-4,310.3445,C19H18O4,,其他,O=C(/C=C(O)/C=C/C1=CC=C(O)C=C1)CCC2=CC=C(O)C=C2,"InChI=1S/C19H18O4/c20-16-7-1-14(2-8-16)5-11-18(22)13-19(23)12-6-15-3-9-17(21)10-4-15/h1-5,7-11,13,20-22H,6,12H2/b11-5+,18-13-",XLKHKZCPVAHTFN-YLMKKNOUSA-N
JH-155,,"(2z)-2-{2-[(1s,4as,8as)-5,5,8a-trimethyl-2-methylidene-hexahydro-1h-naphthalen-1-yl]ethylidene}butanedial",,302.4518,C20H30O2,,萜类,,,
JH-156,,"(1e)-1,7-bis(4-hydroxyphenyl)hept-1-ene-3,5-dione",,310.3445,C19H18O4,,其他,,,
JH-157,Α-香柠檬烯,Α-bergamotene,17699-05-7,204.3516,C15H24,,萜类,CC1=CCC2CC1C2(C)CCC=C(C)C,"InChI=1S/C15H24/c1-11(2)6-5-9-15(4)13-8-7-12(3)14(15)10-13/h6-7,13-14H,5,8-10H2,1-4H3",YMBFCQPIMVLNIU-UHFFFAOYSA-N
JH-158,,"1,8a-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-2,3,3a,8-tetrahydroazulen-6-one",,250.3339,C15H22O3,,萜类,,,
JH-159,,"(6s)-6-[(1r,4r)-4-hydroxy-4-methylcyclohex-2-en-1-yl]-2-methylhept-2-en-4-one",,236.3504,C15H24O2,,萜类,,,
JH-160,2'-羟基-5'-甲基苯乙酮,2-acetyl-4-methylphenol,1450-72-2,150.1748,C9H10O2,,其他,C/C=C(/C)C1CCC(C)=CC1O,"InChI=1S/C10H18O/c1-8(2)10-5-4-9(3)6-7-10/h4,8,10H,5-7H2,1-3H3",ABOHPALIBJVGCR-UHFFFAOYSA-N
JH-161,肉豆蔻酸,Myristic acid,544-63-8,228.3715,C14H28O2,,脂肪酸,CCCCCCCCCCCCCCCCCC(=O)O,"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)",BBJCGQKOUKOXRG-UHFFFAOYSA-N
JH-162,,3-methyl-6-(6-methyl-4-oxohept-5-en-2-yl)cyclohex-2-en-1-one,,234.3345,C15H22O2,,萜类,,,
JH-163,,(+)-α-phellandrene,2243-33-6,136.2344,C10H16,,萜类,CC(C)=CC(=O)CC(C)C1=CC=C(C)C=C1,"InChI=1S/C15H20O/c1-12(2)8-7-14(16)11(3)13-9-10(4)5-6-13/h5-6,9,11H,7-8H2,1-4H3",KQZXZCGSSPTOFK-UHFFFAOYSA-N
JH-164,,"(5z)-2-methyl-6-[(1r)-4-methylcyclohex-3-en-1-yl]hepta-2,5-dien-4-one",532-64-9,218.3351,C15H22O,,萜类,COC1=C(C=CC(=C1)C=O)O,"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3",FPAFZNILJYWQPD-UHFFFAOYSA-N
JH-165,二氢姜黄素,"5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-4,6-dien-3-one",76474-56-1,370.3966,C21H22O6,,其他,COC1=C(C=CC(=C1)C=CC(=O)C=C(C)C)O,"InChI=1S/C16H18O3/c1-12(2)8-7-14(17)9-11-15-10-13(6-5-11)16(18)19-4/h5-10,18H,1-2H3/b9-7+,11-5+",YPCYPISTQOWPRC-JBMRQZBQSA-N
JH-166,脱甲基姜黄素,"1-(3,4-dihydroxyphenyl)-7-(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",149732-51-4,354.3541,C20H18O6,,其他,COC1=C(C=CC(=C1)C=CC(=O)C=C(C)C)O,"InChI=1S/C16H18O3/c1-12(2)8-7-14(17)9-11-15-10-13(6-5-11)16(18)19-4/h5-10,18H,1-2H3/b9-7+,11-5+",YPCYPISTQOWPRC-JBMRQZBQSA-N
JH-167,右莰醇,(+)-borneol,464-43-7,154.2497 ,C10H18O,,萜类,CC@@HC1CCC(C)CC1O,"InChI=1S/C10H20O/c1-7(2)10-5-3-8(4-6-10)9(10)11/h7-11H,3-6H2,1-2H3/t7-,8-,9-,10+/m1/s1",CDTVVSKGPQGTQA-KLBPPMFQSA-N
JH-168,,4-(6-methyl-4-oxohept-5-en-2-yl)benzaldehyde,,230.3028,C15H18O2,,萜类,,,
JH-169,,"1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,4,6-trien-3-one",,352.3813,C21H20O5,,其他,,,
JH-170,四氢姜黄素,Tetrahydrocurcumin,36062-04-1,372.4125,C21H24O6,,其他,COC1=C(C=CC(=C1)CCC(=O)CC(=O)CCC2=CC(=C(C=C2)O)OC)O,"InChI=1S/C21H24O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h5-6,9-12,24-25H,3-4,7-8,13H2,1-2H3",LBTVHXHERHESKG-UHFFFAOYSA-N
JH-171,"1,7-二(4-羟基苯基)-3-羟基-1,3-庚二烯-5-酮","(4z,6e)-5-hydroxy-1,7-bis(4-hydroxyphenyl)hepta-4,6-dien-3-one",207792-17-4,310.3445,C19H18O4,,其他,,,
JH-172,棕榈油酸,9-hexadecenoic acid,373-49-9,254.4088,C16H30O2,,脂肪酸,CCCCCCC=CCCCCCCCC(=O)O,"InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/b8-7-",SECPZKHBENQXJG-FPLPWBNLSA-N
JH-173,,"5-hydroxy-7-(4-hydroxy-3-methoxyphenyl)-1-(4-hydroxyphenyl)hepta-1,4,6-trien-3-one",,338.3547,C20H18O5,,其他,,,
JH-174,,(6s)-6-(4-hydroxyphenyl)-2-methylhept-2-en-4-one,949081-06-5,218.292,C14H18O2,,其他,C/C1=C\CCC@H[C@H]2CCC(=C)C=C2/C=C/1,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,10,14-15H,3,5,7,9,11H2,1-2,4H3/t14-,15+/m0/s1",PHWISBHSBNDZDX-LSDHHAIUSA-N
JH-175,,6-(4-hydroxyphenyl)-2-methylhept-2-en-4-one,949081-05-4,218.292,C14H18O2,,其他,C/C1=C\CCC@H[C@H]2CCC(=C)C=C2/C=C/1,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,10,14-15H,3,5,7,9,11H2,1-2,4H3/t14-,15+/m0/s1",PHWISBHSBNDZDX-LSDHHAIUSA-N
JH-176,(S)-1-(4-甲基苯基)乙醇,(-)-1-p-tolylethanol,51154-54-2,136.1913,C9H12O,,其他,CC(C)=CC(=O)CC(C)C1=CC=C(C)C=C1,"InChI=1S/C15H20O/c1-12(2)8-7-14(16)11(3)13-9-10(4)5-6-13/h5-6,9,11H,7-8H2,1-4H3",KQZXZCGSSPTOFK-UHFFFAOYSA-N
JH-177,,"1,5-bis(4-hydroxy-3-methoxyphenyl)penta-1,4-dien-3-one",,326.3439,C19H18O5,,其他,,,
JH-178,,4-(4-hydroxy-3-methoxyphenyl)-2-oxobut-3-en-1-yl 3-(4-hydroxyphenyl)prop-2-enoate,,354.3541,C20H18O6,,酚酸类,,,
JH-179,桉叶油醇,Eucalyptol,470-82-6,154.2497,C10H18O,,萜类,CC12CCC(CC1)C(C)(C)O2,"InChI=1S/C10H18O/c1-9(2)8-4-6-10(3,11-9)7-5-8/h8H,4-7H2,1-3H3",WEEGYLXZBRQIMU-UHFFFAOYSA-N
JH-180,,"(1r,4s,5s)-2-methyl-5-[(2s)-6-methylhept-5-en-2-yl]cyclohex-2-ene-1,4-diol",,238.3663,C15H26O2,,萜类,,,
